# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-07-20 18:24:47 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15087700 INDIAN R AT SITKA AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15087700
#            TS   parameter     Description
#          1343       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	1343_00065	1343_00065_cd
5s	15s	20d	6s	14n	10s
USGS	15087700	2020-07-17 00:00	AKDT	20.84	P
USGS	15087700	2020-07-17 00:15	AKDT	20.84	P
USGS	15087700	2020-07-17 00:30	AKDT	20.83	P
USGS	15087700	2020-07-17 00:45	AKDT	20.84	P
USGS	15087700	2020-07-17 01:00	AKDT	20.83	P
USGS	15087700	2020-07-17 01:15	AKDT	20.83	P
USGS	15087700	2020-07-17 01:30	AKDT	20.83	P
USGS	15087700	2020-07-17 01:45	AKDT	20.83	P
USGS	15087700	2020-07-17 02:00	AKDT	20.83	P
USGS	15087700	2020-07-17 02:15	AKDT	20.83	P
USGS	15087700	2020-07-17 02:30	AKDT	20.83	P
USGS	15087700	2020-07-17 02:45	AKDT	20.83	P
USGS	15087700	2020-07-17 03:00	AKDT	20.83	P
USGS	15087700	2020-07-17 03:15	AKDT	20.83	P
USGS	15087700	2020-07-17 03:30	AKDT	20.83	P
USGS	15087700	2020-07-17 03:45	AKDT	20.83	P
USGS	15087700	2020-07-17 04:00	AKDT	20.82	P
USGS	15087700	2020-07-17 04:15	AKDT	20.83	P
USGS	15087700	2020-07-17 04:30	AKDT	20.82	P
USGS	15087700	2020-07-17 04:45	AKDT	20.83	P
USGS	15087700	2020-07-17 05:00	AKDT	20.83	P
USGS	15087700	2020-07-17 05:15	AKDT	20.83	P
USGS	15087700	2020-07-17 05:30	AKDT	20.82	P
USGS	15087700	2020-07-17 05:45	AKDT	20.82	P
USGS	15087700	2020-07-17 06:00	AKDT	20.82	P
USGS	15087700	2020-07-17 06:15	AKDT	20.82	P
USGS	15087700	2020-07-17 06:30	AKDT	20.82	P
USGS	15087700	2020-07-17 06:45	AKDT	20.82	P
USGS	15087700	2020-07-17 07:00	AKDT	20.82	P
USGS	15087700	2020-07-17 07:15	AKDT	20.82	P
USGS	15087700	2020-07-17 07:30	AKDT	20.82	P
USGS	15087700	2020-07-17 07:45	AKDT	20.81	P
USGS	15087700	2020-07-17 08:00	AKDT	20.82	P
USGS	15087700	2020-07-17 08:15	AKDT	20.81	P
USGS	15087700	2020-07-17 08:30	AKDT	20.81	P
USGS	15087700	2020-07-17 08:45	AKDT	20.82	P
USGS	15087700	2020-07-17 09:00	AKDT	20.82	P
USGS	15087700	2020-07-17 09:15	AKDT	20.81	P
USGS	15087700	2020-07-17 09:30	AKDT	20.82	P
USGS	15087700	2020-07-17 09:45	AKDT	20.81	P
USGS	15087700	2020-07-17 10:00	AKDT	20.81	P
USGS	15087700	2020-07-17 10:15	AKDT	20.81	P
USGS	15087700	2020-07-17 10:30	AKDT	20.81	P
USGS	15087700	2020-07-17 10:45	AKDT	20.81	P
USGS	15087700	2020-07-17 11:00	AKDT	20.80	P
USGS	15087700	2020-07-17 11:15	AKDT	20.81	P
USGS	15087700	2020-07-17 11:30	AKDT	20.81	P
USGS	15087700	2020-07-17 11:45	AKDT	20.80	P
USGS	15087700	2020-07-17 12:00	AKDT	20.81	P
USGS	15087700	2020-07-17 12:15	AKDT	20.80	P
USGS	15087700	2020-07-17 12:30	AKDT	20.81	P
USGS	15087700	2020-07-17 12:45	AKDT	20.80	P
USGS	15087700	2020-07-17 13:00	AKDT	20.80	P
USGS	15087700	2020-07-17 13:15	AKDT	20.80	P
USGS	15087700	2020-07-17 13:30	AKDT	20.80	P
USGS	15087700	2020-07-17 13:45	AKDT	20.80	P
USGS	15087700	2020-07-17 14:00	AKDT	20.80	P
USGS	15087700	2020-07-17 14:15	AKDT	20.80	P
USGS	15087700	2020-07-17 14:30	AKDT	20.80	P
USGS	15087700	2020-07-17 14:45	AKDT	20.80	P
USGS	15087700	2020-07-17 15:00	AKDT	20.80	P
USGS	15087700	2020-07-17 15:15	AKDT	20.80	P
USGS	15087700	2020-07-17 15:30	AKDT	20.80	P
USGS	15087700	2020-07-17 15:45	AKDT	20.80	P
USGS	15087700	2020-07-17 16:00	AKDT	20.80	P
USGS	15087700	2020-07-17 16:15	AKDT	20.80	P
USGS	15087700	2020-07-17 16:30	AKDT	20.80	P
USGS	15087700	2020-07-17 16:45	AKDT	20.80	P
USGS	15087700	2020-07-17 17:00	AKDT	20.80	P
USGS	15087700	2020-07-17 17:15	AKDT	20.80	P
USGS	15087700	2020-07-17 17:30	AKDT	20.80	P
USGS	15087700	2020-07-17 17:45	AKDT	20.81	P
USGS	15087700	2020-07-17 18:00	AKDT	20.81	P
USGS	15087700	2020-07-17 18:15	AKDT	20.82	P
USGS	15087700	2020-07-17 18:30	AKDT	20.82	P
USGS	15087700	2020-07-17 18:45	AKDT	20.82	P
USGS	15087700	2020-07-17 19:00	AKDT	20.82	P
USGS	15087700	2020-07-17 19:15	AKDT	20.82	P
USGS	15087700	2020-07-17 19:30	AKDT	20.83	P
USGS	15087700	2020-07-17 19:45	AKDT	20.82	P
USGS	15087700	2020-07-17 20:00	AKDT	20.83	P
USGS	15087700	2020-07-17 20:15	AKDT	20.83	P
USGS	15087700	2020-07-17 20:30	AKDT	20.83	P
USGS	15087700	2020-07-17 20:45	AKDT	20.83	P
USGS	15087700	2020-07-17 21:00	AKDT	20.84	P
USGS	15087700	2020-07-17 21:15	AKDT	20.83	P
USGS	15087700	2020-07-17 21:30	AKDT	20.84	P
USGS	15087700	2020-07-17 21:45	AKDT	20.84	P
USGS	15087700	2020-07-17 22:00	AKDT	20.85	P
USGS	15087700	2020-07-17 22:15	AKDT	20.85	P
USGS	15087700	2020-07-17 22:30	AKDT	20.85	P
USGS	15087700	2020-07-17 22:45	AKDT	20.85	P
USGS	15087700	2020-07-17 23:00	AKDT	20.86	P
USGS	15087700	2020-07-17 23:15	AKDT	20.85	P
USGS	15087700	2020-07-17 23:30	AKDT	20.86	P
USGS	15087700	2020-07-17 23:45	AKDT	20.86	P
USGS	15087700	2020-07-18 00:00	AKDT	20.86	P
USGS	15087700	2020-07-18 00:15	AKDT	20.86	P
USGS	15087700	2020-07-18 00:30	AKDT	20.86	P
USGS	15087700	2020-07-18 00:45	AKDT	20.86	P
USGS	15087700	2020-07-18 01:00	AKDT	20.86	P
USGS	15087700	2020-07-18 01:15	AKDT	20.86	P
USGS	15087700	2020-07-18 01:30	AKDT	20.86	P
USGS	15087700	2020-07-18 01:45	AKDT	20.86	P
USGS	15087700	2020-07-18 02:00	AKDT	20.85	P
USGS	15087700	2020-07-18 02:15	AKDT	20.86	P
USGS	15087700	2020-07-18 02:30	AKDT	20.85	P
USGS	15087700	2020-07-18 02:45	AKDT	20.85	P
USGS	15087700	2020-07-18 03:00	AKDT	20.86	P
USGS	15087700	2020-07-18 03:15	AKDT	20.85	P
USGS	15087700	2020-07-18 03:30	AKDT	20.85	P
USGS	15087700	2020-07-18 03:45	AKDT	20.86	P
USGS	15087700	2020-07-18 04:00	AKDT	20.86	P
USGS	15087700	2020-07-18 04:15	AKDT	20.86	P
USGS	15087700	2020-07-18 04:30	AKDT	20.86	P
USGS	15087700	2020-07-18 04:45	AKDT	20.85	P
USGS	15087700	2020-07-18 05:00	AKDT	20.86	P
USGS	15087700	2020-07-18 05:15	AKDT	20.87	P
