# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-02-08 12:37:23 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15087700 INDIAN R AT SITKA AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15087700
#            TS   parameter     Description
#          1343       00065     Gage height, feet
#          1344       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd   site_no datetime    tz_cd   1343_00065  1343_00065_cd   1344_00060  1344_00060_cd
5s  15s 20d 6s  14n 10s 14n 10s
USGS    15087700    2019-10-01 00:00    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 00:15    AKDT    21.18   A   106 A
USGS    15087700    2019-10-01 00:30    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 00:45    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 01:00    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 01:15    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 01:30    AKDT    21.18   A   106 A
USGS    15087700    2019-10-01 01:45    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 02:00    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 02:15    AKDT    21.20   A   110 A
USGS    15087700    2019-10-01 02:30    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 02:45    AKDT    21.20   A   110 A
USGS    15087700    2019-10-01 03:00    AKDT    21.20   A   110 A
USGS    15087700    2019-10-01 03:15    AKDT    21.19   A   108 A
USGS    15087700    2019-10-01 03:30    AKDT    21.20   A   110 A
USGS    15087700    2019-10-01 03:45    AKDT    21.20   A   110 A
USGS    15087700    2019-10-01 04:00    AKDT    21.20   A   110 A
USGS    15087700    2019-10-01 04:15    AKDT    21.21   A   112 A
USGS    15087700    2019-10-01 04:30    AKDT    21.21   A   112 A
USGS    15087700    2019-10-01 04:45    AKDT    21.21   A   112 A
USGS    15087700    2019-10-01 05:00    AKDT    21.21   A   112 A
USGS    15087700    2019-10-01 05:15    AKDT    21.22   A   114 A
USGS    15087700    2019-10-01 05:30    AKDT    21.22   A   114 A
USGS    15087700    2019-10-01 05:45    AKDT    21.22   A   114 A
USGS    15087700    2019-10-01 06:00    AKDT    21.22   A   114 A
USGS    15087700    2019-10-01 06:15    AKDT    21.23   A   116 A
USGS    15087700    2019-10-01 06:30    AKDT    21.22   A   114 A
USGS    15087700    2019-10-01 06:45    AKDT    21.23   A   116 A
USGS    15087700    2019-10-01 07:00    AKDT    21.23   A   116 A
USGS    15087700    2019-10-01 07:15    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 07:30    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 07:45    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 08:00    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 08:15    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 08:30    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 08:45    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 09:00    AKDT    21.24   A   118 A
USGS    15087700    2019-10-01 09:15    AKDT    21.26   A   122 A
USGS    15087700    2019-10-01 09:30    AKDT    21.25   A   120 A
USGS    15087700    2019-10-01 09:45    AKDT    21.25   A   120 A
USGS    15087700    2019-10-01 10:00    AKDT    21.25   A   120 A
USGS    15087700    2019-10-01 10:15    AKDT    21.26   A   122 A
USGS    15087700    2019-10-01 10:30    AKDT    21.26   A   122 A
USGS    15087700    2019-10-01 10:45    AKDT    21.26   A   122 A
USGS    15087700    2019-10-01 11:00    AKDT    21.27   A   124 A
USGS    15087700    2019-10-01 11:15    AKDT    21.28   A   126 A
USGS    15087700    2019-10-01 11:30    AKDT    21.28   A   126 A
USGS    15087700    2019-10-01 11:45    AKDT    21.28   A   126 A
USGS    15087700    2019-10-01 12:00    AKDT    21.29   A   128 A
USGS    15087700    2019-10-01 12:15    AKDT    21.30   A   130 A
USGS    15087700    2019-10-01 12:30    AKDT    21.30   A   130 A
USGS    15087700    2019-10-01 12:45    AKDT    21.31   A   132 A
USGS    15087700    2019-10-01 13:00    AKDT    21.31   A   132 A
USGS    15087700    2019-10-01 13:15    AKDT    21.32   A   134 A
USGS    15087700    2019-10-01 13:30    AKDT    21.31   A   132 A
USGS    15087700    2019-10-01 13:45    AKDT    21.34   A   138 A
USGS    15087700    2019-10-01 14:00    AKDT    21.34   A   138 A
USGS    15087700    2019-10-01 14:15    AKDT    21.34   A   138 A
USGS    15087700    2019-10-01 14:30    AKDT    21.35   A   140 A
USGS    15087700    2019-10-01 14:45    AKDT    21.36   A   142 A
USGS    15087700    2019-10-01 15:00    AKDT    21.36   A   142 A
USGS    15087700    2019-10-01 15:15    AKDT    21.37   A   145 A
USGS    15087700    2019-10-01 15:30    AKDT    21.38   A   147 A
USGS    15087700    2019-10-01 15:45    AKDT    21.40   A   151 A
USGS    15087700    2019-10-01 16:00    AKDT    21.41   A   153 A
USGS    15087700    2019-10-01 16:15    AKDT    21.42   A   156 A
USGS    15087700    2019-10-01 16:30    AKDT    21.43   A   158 A
USGS    15087700    2019-10-01 16:45    AKDT    21.44   A   160 A
USGS    15087700    2019-10-01 17:00    AKDT    21.44   A   160 A
USGS    15087700    2019-10-01 17:15    AKDT    21.45   A   162 A
USGS    15087700    2019-10-01 17:30    AKDT    21.48   A   169 A
USGS    15087700    2019-10-01 17:45    AKDT    21.48   A   169 A
USGS    15087700    2019-10-01 18:00    AKDT    21.49   A   172 A
USGS    15087700    2019-10-01 18:15    AKDT    21.49   A   172 A
USGS    15087700    2019-10-01 18:30    AKDT    21.51   A   177 A
USGS    15087700    2019-10-01 18:45    AKDT    21.53   A   182 A
USGS    15087700    2019-10-01 19:00    AKDT    21.52   A   179 A
USGS    15087700    2019-10-01 19:15    AKDT    21.54   A   184 A
USGS    15087700    2019-10-01 19:30    AKDT    21.54   A   184 A
USGS    15087700    2019-10-01 19:45    AKDT    21.56   A   189 A
USGS    15087700    2019-10-01 20:00    AKDT    21.55   A   187 A
USGS    15087700    2019-10-01 20:15    AKDT    21.57   A   192 A
USGS    15087700    2019-10-01 20:30    AKDT    21.56   A   189 A
USGS    15087700    2019-10-01 20:45    AKDT    21.56   A   189 A
USGS    15087700    2019-10-01 21:00    AKDT    21.56   A   189 A
USGS    15087700    2019-10-01 21:15    AKDT    21.55   A   187 A
USGS    15087700    2019-10-01 21:30    AKDT    21.56   A   189 A
USGS    15087700    2019-10-01 21:45    AKDT    21.55   A   187 A
USGS    15087700    2019-10-01 22:00    AKDT    21.54   A   184 A
USGS    15087700    2019-10-01 22:15    AKDT    21.53   A   182 A
USGS    15087700    2019-10-01 22:30    AKDT    21.53   A   182 A
USGS    15087700    2019-10-01 22:45    AKDT    21.55   A   187 A
USGS    15087700    2019-10-01 23:00    AKDT    21.51   A   177 A
USGS    15087700    2019-10-01 23:15    AKDT    21.52   A   179 A
USGS    15087700    2019-10-01 23:30    AKDT    21.51   A   177 A
USGS    15087700    2019-10-01 23:45    AKDT    21.50   A   174 A
USGS    15087700    2019-10-02 00:00    AKDT    21.51   A   177 A
USGS    15087700    2019-10-02 00:15    AKDT    21.49   A   172 A
USGS    15087700    2019-10-02 00:30    AKDT    21.49   A   172 A
USGS    15087700    2019-10-02 00:45    AKDT    21.47   A   167 A
USGS    15087700    2019-10-02 01:00    AKDT    21.48   A   169 A
USGS    15087700    2019-10-02 01:15    AKDT    21.46   A   165 A
USGS    15087700    2019-10-02 01:30    AKDT    21.48   A   169 A
